file,tags
/mnt/data/_work_2025-06-10/unzipped/H/viettel.der,*.viettel.vn;GlobalSign RSA OV SSL CA 2018;Viettel;viettel.vn
/mnt/data/_work_2025-06-10/unzipped/README_victim_map/README_victim_map.txt,JetsamEvent;Pegasus
/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2 (2)/README_victim_map 2.txt,JetsamEvent;Pegasus
/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2 (2)/README_victim_map.txt,JetsamEvent;Pegasus
/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2/README_victim_map 2.txt,JetsamEvent;Pegasus
/mnt/data/_work_2025-06-10/unzipped/REPORT_extract_2025-06-10 2/README_victim_map.txt,JetsamEvent;Pegasus
/mnt/data/_work_2025-06-10/unzipped/Tajima/____________.csv,Viettel
/mnt/data/_work_2025-06-10/unzipped/Tajima/viettel.der,*.viettel.vn;GlobalSign RSA OV SSL CA 2018;Viettel;viettel.vn
/mnt/data/_work_2025-06-10/unzipped/Tajima/viettel.zip,Viettel
/mnt/data/_work_2025-06-10/unzipped/Tajima/不正証拠/_____________csv__preview_.csv,Viettel
/mnt/data/_work_2025-06-10/unzipped/Tajima/不正証拠/viettel_bundle_analysis_report.txt,Viettel
/mnt/data/_work_2025-06-10/unzipped/bug_type_298_2025-06-10_combined/bug_type_298_2025-06-10_combined.pdf,mdmd
